"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)268",2109,"ylAMZZL6oZNvc4K56nthCzj1yz",66,"1",85.44,0.67,0.09,0.66,0.67,0.08,0.48,1.06,0.58,0.84,1.87,0.01,0.61,0.72,0.79,0.399082902743094,0.100821940422141,59576.11,469.1,112.54,448.84,466.12,139.01,247.47,922.44,674.97,0.52,0.68,9.99,384.92,556.97,2.81,4696,90,52.18,71.94,20.5,34.42,15.57,4,376,372,2.58,6.61,7.58,14.25,57.5,-0.76,16,701.64,228.38,175.72,0,1355.07,1355.07,-0.44,1.07,20.27,653.67,887.46,2.98,786,20.86,79.41,11.27,13.24,10.75,0,1404.95,1404.95,13.71,199.38,2.83,5.12,21.55,987.95,29,785,-13.21,13.5,-9.08,-10.92,9.27,-122.45,0.4,122.85,-2.58,11.58,0.48,-18.13,-3.97,-76.2,33,18.28,5.16,19,18.46,5.19,2,29,27,-0.41,0.33,0.56,15,21.75,60,53,1675.07,13.09,6.71,12.31,12.65,6.45,1,31.58,30.58,0.59,-0.06,0.59,8.06,17.47,0,128,-0.01,65.56,128,0,0,0,-0.04
"(Intercept)269",2110,"PMjVEixn45DkFqwA5Gy0czOUCL",66,"1",67.48,0.53,0.11,0.5,0.52,0.09,0.37,0.98,0.61,1.12,1.45,0.01,0.45,0.58,-0.81,0.864545995854956,-0.122735926731462,63197.98,497.62,106.23,489.74,495.38,118.81,283.47,762.56,479.09,0.15,-0.81,9.43,423.05,577.02,2.33,2228,101,22.06,23.11,16,17.85,11.86,1,180,179,3.73,20.18,2.3,10,26,-0.24,0,936.43,303.83,301.61,401.14,2304,1902.86,0.62,1.19,26.96,907.76,1329.72,5.36,537,29.18,65.16,14.37,18.42,14.58,0,991.53,991.53,9.35,116.36,2.81,6.28,31.58,245.24,32,537,-16.86,18.46,-9.67,-13.48,10.8,-127.02,0.56,127.58,-1.97,5.08,0.8,-23.41,-4.07,-93.22,29,15.81,3.67,16,15.77,3.71,9,24,15,0.06,-0.65,0.45,13.75,18.25,14,22,2006.36,15.67,10.03,14.09,15,10.68,0,42.49,42.49,0.52,-0.62,0.89,7.53,21.64,3,125,0.09,58.91,50,1,0,0,0.384
"(Intercept)270",2115,"VEBvwjKOr5GvAnne5wK4grVjdo",66,"1",57.42,0.45,0.06,0.44,0.44,0.05,0.36,0.7,0.34,1.77,4.41,0.01,0.41,0.47,-0.08,0.490024319127274,-0.013958154203197,60732.14,478.21,115,467.97,472.11,128.95,286.94,819.82,532.88,0.47,-0.52,10.2,384.75,555.74,2.81,2584,100,25.84,22.49,21.5,22.36,15.57,1,131,130,1.83,4.55,2.25,11.75,33,-0.2,48,1072.11,337.87,337.25,0,2134.69,2134.69,-0.6,2.11,29.98,972.16,1413.9,4.93,1596,51.67,348.45,21.67,26.54,21.9,-8.45,12951.57,12960.02,32.51,1178.61,8.72,9.95,42.03,1918.92,138,1596,-37.07,62.16,-25.68,-29.06,22.45,-1307.19,62.11,1369.3,-13.51,251.55,1.56,-44.24,-13.89,-337.76,93,55.05,15.84,57,56,13.34,0,82,82,-0.87,1.52,2.08,47.25,63.75,26,46,2713.67,21.2,12.61,19.67,20.15,12.62,1,67.91,66.91,0.84,0.63,1.11,12.14,29.39,14,114,0.01,46.51,30,2,0,0,0.083
"(Intercept)271",2121,"EzgqhSvq9Rva9KpYp4VTB849UP",66,"1",54.19,0.43,0.06,0.42,0.42,0.04,0.22,0.71,0.49,1.39,4.83,0.01,0.39,0.45,-0.11,0.491173956862845,-0.0237536395076137,59750.63,470.48,128.53,474.61,466.43,127.24,53.75,1093.97,1040.22,0.69,3.41,11.41,381.52,551.59,2.74,3285,106,30.99,34.7,22.5,24.53,14.08,1,229,228,3.83,17.87,3.37,14.25,32.75,-0.52,40,1137.63,321.7,310.43,405.34,2347.61,1942.27,0.44,1.08,28.55,1006.52,1404.13,6.64,429,Inf,NA,13.89,16.93,14.21,-18.77,Inf,Inf,NA,NA,NA,5.97,27.89,933.33,20,429,Inf,NA,-11.48,-14.43,11.26,-470.59,Inf,Inf,NA,NA,NA,-24.92,-5.32,-62.74,14,15.62,3.52,16,15.78,2.97,4,24,20,-0.56,1.15,0.48,13.5,18,16,54,3700.24,28.91,43.23,23.39,24.58,13.32,2,491.52,489.52,9.57,99.51,3.82,16.83,33.7,23,105,0.1,37.05,25,3,1,1,-0.192
"(Intercept)272",2125,"JbZMj0eLzOdI1F9IpomOkDS1KS",66,"0.8999999761581421",51,0.4,0.8,0.18,0.31,0.13,0,8.8,8.8,9.04,91.43,0.07,0.15,0.51,-5.48,2.40442842970823,-0.737803117324245,25899.38,203.93,306.78,2,140.89,2.97,0,1253.27,1253.27,1.46,1.26,27.22,0,360.88,-3.09,4338,44,98.59,136.84,28.5,70.83,23.72,3,671,668,2.18,5.27,20.63,16,146,1.94,21,582.65,462.57,0,0,1512.07,1512.07,0.93,-0.58,41.05,0,745.1,-5.36,335,53.95,221.92,18.51,26.69,20.7,0.02,3748.57,3748.56,14.28,228.47,12.12,8.13,47,339.74,28,335,-33.57,53.48,-15.53,-22.31,18.27,-410.99,0,410.98,-3.89,19.17,2.92,-38.03,-5.72,-289.43,33,12.9,11,14.5,12.48,15.57,0,32,32,0.03,-1.57,1.53,0,22.25,6,10,29093.42,227.29,191.91,201.65,217.65,266.29,2,569.4,567.4,0.25,-1.51,16.96,27.11,407.33,90,38,3.14,16.09,9,55,80,55,-0.716
"(Intercept)273",2127,"1JDhzZy7rdY3LgY3WAYeAQhJK4",66,"1.25",251.39,1.98,0.61,1.85,1.9,0.4,1.1,5.55,4.45,2.25,8.6,0.05,1.61,2.2,-1.56,2.47541573997971,-0.182705161328282,74000.85,582.68,279.67,537.5,544.56,138.2,292.19,2850.53,2558.34,4.87,33.71,24.82,449.75,638.1,2.72,13493,122,110.6,73.88,93,104.83,77.1,9,303,294,0.59,-0.74,6.69,50,165.5,0.15,14,296.56,150.46,112.68,132.24,1016.71,884.47,1.24,1.94,13.35,276.9,439.28,2.59,2003,11.9,22.88,5.88,7.91,6.22,0,564.78,564.78,10.67,198.73,0.51,2.53,13.54,231,162,2003,-9.6,16.85,-4.02,-6.22,5.13,-359.02,0,359.02,-7.33,108.33,0.38,-11.01,-1.27,-140.51,181,15.9,6.82,16,15.77,5.93,0,39,39,0.21,0.02,0.43,11.75,20,10,43,578.44,4.52,8.39,3.16,3.32,1.94,0,83.38,83.38,7.36,61.48,0.74,2,4.47,2,126,0.06,89.04,114,1,0,0,0.076
"(Intercept)274",2128,"BY78w5nfUu6O12S9OJGlm39a9g",66,"1.2604167461395264",56.52,0.45,0.05,0.44,0.44,0.05,0.36,0.72,0.36,1.76,7.67,0,0.41,0.47,-0.13,0.500897702517196,-0.0205684882118503,56943.31,448.37,96.73,462.36,450.98,116.65,240.69,646.45,405.76,-0.22,-0.89,8.58,374.69,523.06,2.55,5677,175,32.44,42.64,10,23.3,8.9,2,243,241,2.06,4.33,3.22,7,33.5,-0.18,126,1070.74,326.06,306.69,656.66,2338.48,1681.82,0.91,1.21,28.93,1048.52,1458.83,6.43,1594,30.84,41.75,20.65,24.96,22.99,0,857.14,857.14,9.11,148.83,1.05,9.02,41.95,241.66,65,1594,-34.24,27.19,-27.45,-30.48,21.49,-209.41,-0.14,209.28,-1.59,3.64,0.68,-45.52,-15.61,-157.58,74,55.95,11.07,57,56.28,10.38,28,76,48,-0.29,-0.28,1.47,49,63,44,56,2312.7,18.07,8.15,16.76,17.67,7.95,2.83,42.05,39.22,0.43,-0.43,0.72,12.03,23.87,1,127,0.01,52.54,101,1,0,0,0.203
"(Intercept)275",2130,"dUIZkWd1DL7s7O5BcMKWbu5DMl",66,"1",65.66,0.52,0.09,0.51,0.51,0.07,0.26,0.8,0.55,0.33,1.3,0.01,0.46,0.57,0.64,0.295876678885028,0.0814490936203374,61511.21,484.34,116.45,502.88,484.05,118.36,189.61,773.65,584.04,-0.07,-0.4,10.33,399.54,557.35,2.41,1816,96,18.92,24.59,13,14.82,10.38,1,209,208,5.1,34.89,2.51,7,21.25,0.07,0,936.74,281.48,238.95,405.21,2175.2,1769.99,0.75,1.64,24.98,869.6,1211.32,4.62,673,35.51,123.92,12.02,15.44,13.06,0,1357.61,1357.61,7.5,58.93,4.78,4.98,26.26,986.84,43,673,-14.78,16.12,-9.63,-11.91,10.15,-160,-0.12,159.88,-2.92,14.64,0.62,-20.24,-4.08,-93.65,33,20.41,4.43,20.5,20.33,4.45,11,32,21,0.18,-0.28,0.55,17.25,23,23,61,4786.76,37.4,36.68,27.52,31.77,19.77,2.24,332,329.77,4.68,31.9,3.24,18.26,47.7,43,85,0.07,29.05,21,7,2,2,0.08
"(Intercept)276",2131,"vg0Nb94xDoANjYUdvSqRuvRVem",66,"1",68.33,0.54,0.59,0.45,0.47,0.09,0.32,6.9,6.58,9.79,100.67,0.05,0.42,0.53,2.36,-0.304226025390627,0.310280999933121,64768.66,509.99,215.18,486.61,488.11,180.32,221.44,2167.01,1945.58,3.78,25.69,19.09,363.82,585.69,3.82,1037,63,16.46,12.98,16,14.76,10.38,1,90,89,3,14.13,1.63,8,21,-0.2,8,929,427.19,327.22,0,2993.13,2993.13,0.46,3.22,37.91,856.4,1289.61,7.74,639,27.53,47.59,14.47,19.4,16.05,0,644.78,644.78,6.97,68.1,1.88,6.3,33.82,378.97,37,639,-20.94,26.2,-12.62,-16.09,12.62,-309.86,21.93,331.79,-3.9,27.69,1.04,-27.24,-5.35,-141.52,46,18.54,7.9,20,19.3,5.93,0,33,33,-0.9,0.46,0.95,16,23,16,10,3273.17,25.57,20.9,21.41,22.85,14.84,0,178.91,178.91,3.48,21.02,1.85,12.83,33.65,20,108,0.03,41.45,19,3,0,0,0.204
"(Intercept)277",2135,"wFrmqTrD6GhCQvO3kQjxvAmFH0",66,"1",69.13,0.54,0.12,0.53,0.53,0.07,0.19,1.23,1.04,1.8,7.83,0.01,0.48,0.57,0.84,0.233509757091735,0.114512368022668,64556.14,508.32,131.26,502.61,502.31,121.07,90.67,1003.21,912.54,0.44,1.3,11.65,410.61,581.57,2.5,3549,117,30.33,21.05,25,27.86,19.27,7,152,145,2.05,8.08,1.95,15,40,-0.27,36,950.68,279.58,261.83,606.1,2034.44,1428.34,0.53,0.19,24.81,967.23,1304.32,2.19,1454,70.05,119.92,42.9,55.59,48.69,0,3800,3800,20.98,641.32,3.14,16.63,96.08,361.2,78,1454,-64.37,71.11,-36.72,-51.26,44.97,-431.39,-0.16,431.24,-1.68,2.86,1.86,-94.37,-12.06,-378.62,74,41.56,9.06,42.5,42.09,5.93,3,60,57,-1.27,3.82,1.08,38,46,39,69,2997.31,23.42,26.9,17.85,19.34,10.29,1,269.12,268.12,6.37,52.69,2.38,11.69,26.08,12,116,-0.12,48.05,27,2,1,1,0.036
"(Intercept)278",2137,"VSFWcqwNVa28osIp1X9yojTIY5",66,"0.625",109.12,0.86,0.61,0.97,0.81,0.53,0.07,3.35,3.28,0.65,1.12,0.05,0.18,1.18,-9.83,4.23767385413474,-1.24455476092865,44803.67,352.78,364.2,406.59,319.45,197.76,0,3045.24,3045.24,3.27,21.75,32.32,0,505.26,-3.84,9952,81,122.86,219.67,52,72.18,56.34,3,1369,1366,3.84,16.22,24.41,25,125,-1.07,1,429.53,304.36,261.29,0,1592.27,1592.27,0.47,0.65,27.01,0,548.18,-5.22,838,250.3,1990.24,14.3,21.56,14.92,-15.77,43297.15,43312.91,15.16,283.79,68.75,6.18,34.23,11808.3,102,838,-32.95,164.58,-10.99,-14.6,13.1,-4180,-0.03,4179.97,-20.26,485.87,5.69,-24.96,-3.4,-804.53,68,15.25,7.1,16,15.7,7.41,0,28,28,-0.47,-0.32,0.68,11,20,71,17,17247.76,134.75,166.79,33.46,108.51,34.78,3.16,525.14,521.97,1.09,-0.35,14.74,17.46,229.65,59,69,3.31,27.19,25,45,43,31,-0.732
"(Intercept)279",2138,"ze5nEnhjhARvdQ3JjVaiohyLsn",66,"1",102.65,0.81,0.29,0.78,0.79,0.19,0.1,2.5,2.39,1.72,9.65,0.03,0.66,0.92,-0.15,0.866631522347868,-0.0215030614476127,69538.73,547.55,503.11,483.23,483.76,154.69,0,4364.09,4364.09,5.51,35.8,44.64,378.56,585.24,2.23,6968,109,63.93,60.49,48,52.99,35.58,8,376,368,2.55,8.27,5.79,25,73,-0.84,26,696.75,388.33,169.89,0,2717.95,2717.95,1.68,7.1,34.46,683.55,914.59,-0.38,1548,78.62,775.05,30.3,38.55,30.73,0,29140.85,29140.85,34.88,1282.77,19.7,13.38,62.79,1142.25,124,1548,-50.06,94.4,-26.83,-33.64,30.62,-2292.96,-0.02,2292.94,-11.23,221.16,2.4,-56.1,-9.58,-691.31,125,30.07,8.03,31,30.43,7.41,1,51,50,-0.52,1.09,0.79,25,35.5,54,102,5679.9,44.37,85.29,19.44,22.53,12.5,1.41,443.4,441.98,3.51,11.46,7.54,12.07,30.71,22,106,0.75,43.3,38,9,7,6,-0.23
"(Intercept)280",2139,"y4WgaBKItXNlvPHyBYGBWxBioJ",66,"1",52.76,0.42,0.05,0.41,0.41,0.03,0.34,0.64,0.3,1.93,6.5,0,0.39,0.43,0.26,0.319450481856108,0.0353466313403861,69214.88,545,142.07,550.51,541.12,141.07,261.74,910.58,648.84,0.24,-0.22,12.61,445.84,637.01,3.05,367,35,10.49,9.25,7,9.14,5.93,1,49,48,2.21,6.14,1.56,5,13.5,-0.15,13,1321.35,336.51,350.04,672.91,2529.28,1856.37,0.44,0.53,29.86,1107.43,1551.96,6.83,1414,43.67,90.03,21.79,27.91,23.66,0,1094.78,1094.78,7.38,67.71,2.39,10.2,45.56,979.17,119,1413,-33.83,32.09,-26.99,-29,20.5,-471.4,-0.37,471.03,-4.13,34.63,0.85,-42.19,-14.97,-258.7,78,53.36,9.04,54,53.47,10.38,35,73,38,-0.12,-0.56,1.24,47,59,43,22,2938.99,22.96,12.49,20.75,22.21,12.53,2.24,60.08,57.85,0.58,-0.43,1.1,13.78,30.76,23,105,-0.05,42.21,35,2,1,1,-0.124
"(Intercept)281",2140,"TtZN5sJhyEqOwQ6wyaaNi40YlE",66,"1.25",106.49,0.84,0.26,0.78,0.8,0.12,0.56,2.77,2.21,4.96,31.5,0.02,0.72,0.89,-0.4,0.993219520478265,-0.0570059996532489,63098.39,496.84,106.62,505.59,496.21,115.96,255.71,762.54,506.83,0.04,-0.62,9.46,405.5,579.32,2.2,5492,141,38.95,38.23,27,31.64,20.76,1,220,219,2.17,5.37,3.22,17,43,0,80,611.74,244.98,242.89,147.14,1507.43,1360.29,0.59,0.36,21.74,577.69,903.32,4.35,3043,30.64,56.96,20.41,23.51,18.85,0,1875,1875,16.8,435.75,1.03,9.78,37.5,923.08,180,3043,-27.5,23.8,-21.51,-24.21,17.89,-323.29,-0.04,323.25,-2.67,15.74,0.43,-38.23,-11.74,-202.03,105,56.89,15.25,59,58.32,13.34,0,85,85,-1.1,1.79,1.47,50,67,19,56,2375.87,18.56,8.92,17.96,18.1,8.32,2.24,41.88,39.64,0.44,-0.27,0.79,12.13,23.1,3,125,-0.01,51.28,75,1,0,0,0.151
"(Intercept)282",2141,"YwGto7iKgtd5aZXN4pygqFIWtK",66,"1",98.41,0.77,0.23,0.74,0.74,0.13,0.49,2.61,2.12,4.59,30.45,0.02,0.65,0.82,-0.1,0.811960916931179,-0.0136563361976252,64074.05,504.52,144.37,494.7,491.76,126.32,288.95,1402.11,1113.16,2.52,12.16,12.81,407.13,575.6,2.76,3671,124,29.6,22.51,25.5,26.55,18.53,3,132,129,1.64,3.72,2.02,14,39.25,-0.07,18,656.74,246.59,242.11,448.78,1716.08,1267.3,0.71,0.36,21.88,656.16,996.3,4.82,3041,55.02,79.75,27.25,37.77,31.58,0,909.09,909.09,3.41,17.35,1.45,10.87,62.03,662.52,315,3041,-55.05,75.28,-27.78,-39.27,31.55,-755.64,0,755.64,-3.34,15.74,1.37,-62.67,-12.06,-574.34,290,61.44,13.06,62,61.27,11.86,35,104,69,0.3,0.5,1.31,53,69.5,65,98,1254.94,9.8,4.07,9.43,9.65,4.04,1.41,22.47,21.06,0.46,0.34,0.36,7.05,12.37,0,128,0.03,74.2,128,0,0,0,0.148
"(Intercept)283",2150,"k7uSGjUAxGgvuWtE0qMZl5pOkX",66,"1",71.53,0.56,0.08,0.55,0.56,0.07,0.39,0.94,0.55,1.13,3.06,0.01,0.51,0.61,-0.04,0.584782388764402,-0.00795461899976491,64449.24,507.47,125.87,489.16,499.25,117.97,272.94,1076.81,803.87,1.11,2.89,11.17,431,576.66,2.72,1675,82,20.43,14.23,16,18.12,5.93,1,79,78,1.78,3.36,1.57,13,23.75,-0.08,20,908.83,234.75,236.79,383.24,1652.01,1268.77,0.71,0.48,20.83,782.06,1097.89,5.12,678,21.96,58.09,11.11,15.23,12.12,0,1382.96,1382.96,19.2,441.98,2.23,4.22,25.37,144.59,56,678,-19.04,29.15,-8.4,-13.36,9.85,-400,29.1,429.1,-5.01,47.6,1.12,-23.9,-3.06,-179.06,62,18.85,3.66,19,18.69,4.45,11,28,17,0.35,-0.2,0.43,16,21,26,21,2223.96,17.37,10.41,17.03,16.53,10.17,1,61.19,60.19,1,1.7,0.92,9.65,23.28,5,123,0.01,55.18,61,1,0,0,0.227
"(Intercept)284",2152,"tHXMQx8zo7OEUXvXOK2VDEbBov",66,"1",83.9,0.66,0.45,0.59,0.61,0.09,0.42,5.5,5.09,9.95,104.39,0.04,0.54,0.69,1.96,0.0184463219717435,0.236580319404333,67310.88,530.01,158.15,516.57,512.6,134.51,257.2,1289.19,1031.99,1.59,4.47,14.03,415.11,604.82,3.07,1535,67,22.91,28.24,16,16.8,5.93,8,200,192,4.46,22.55,3.45,11.5,20,-0.37,14,807.13,261.75,259.37,233.84,1708.05,1474.21,0.51,0.24,23.23,736.68,1087.84,4.08,720,22.72,41.19,10.56,15.75,12.04,-3.45,656.77,660.22,8.36,104.11,1.54,4.23,28.76,259.41,53,719,-16.07,19.41,-8.35,-12.21,9.68,-127.98,5.52,133.49,-2.09,5.08,0.72,-20.92,-3.11,-98.39,62,17.14,5.19,17,17.49,4.45,0,28,28,-1.01,2.32,0.57,15,20.25,72,74,2579.58,20.15,10.94,18.32,19.22,10.25,2.24,51.66,49.43,0.75,0.08,0.97,12.01,26.51,12,116,-0.01,48.38,40,2,0,0,0.091
"(Intercept)285",2153,"PAzMseMurSoEgC4X4nGee7ZfW5",66,"1",83.52,0.66,0.18,0.67,0.68,0.1,0.14,1.25,1.1,-1.24,3.04,0.02,0.62,0.75,-1.94,1.30875709895254,-0.239860467231789,57130.53,449.85,173.4,466.67,465.31,128.32,0,916.68,916.68,-0.89,1.6,15.39,380.98,554.34,0.42,2596,79,32.86,36.05,23,25.22,11.86,5,221,216,3.2,11.62,4.06,15,32,-0.04,29,708.64,310.3,222.42,0,1883.56,1883.56,-0.05,1.86,27.54,564.9,865.2,0.33,715,38.53,252.77,14.7,19.13,13.6,0,6410.06,6410.06,22.95,565.12,9.45,7.95,30.42,478.52,55,715,-18.27,30.75,-11.18,-13.31,11.23,-460.19,-0.23,459.96,-8.3,96.58,1.15,-21.84,-4.61,-230.9,46,17.04,4.58,17,17.28,4.45,0,28,28,-0.88,2.28,0.5,14.75,20,34,82,6418.64,50.15,91.34,22.97,24.03,12.73,2.83,374.79,371.96,2.88,6.58,8.07,15.48,32.89,19,109,1.23,38.26,24,11,10,10,-0.564
"(Intercept)286",2155,"Q3uooAxwdnnPgZAAo39QK2zMd0",66,"1",104.82,0.83,0.9,0.66,0.67,0.1,0.46,7.3,6.84,6.01,36.85,0.08,0.6,0.74,5.18,-0.978889650768726,0.664662154253088,72066.72,567.45,283.99,506.22,518.03,173.38,251.27,2032.12,1780.85,2.87,10.19,25.2,395.86,627.69,4.91,5943,119,49.94,53.55,39,39.28,28.17,7,337,330,3.27,12.93,4.91,18.5,55,0.03,37,697.91,298.03,278.11,169.13,2218.1,2048.97,0.58,2.16,26.45,718.54,1088.17,4.18,863,21.11,46.21,10.76,14.54,11.83,0,937.5,937.5,13.47,238.38,1.57,4.28,24.74,205.03,65,863,-15.89,18.81,-8.98,-12.14,10.1,-137.61,-0.13,137.47,-2.27,6.51,0.64,-21.51,-3.35,-100.47,58,16.45,8.25,18,17.04,5.93,0,38,38,-0.68,0.01,0.8,14,22,32,56,2095.44,16.37,26.66,12.88,13.76,7.43,0,302.33,302.33,9.64,100.47,2.36,8.25,20.16,1,127,0.05,62.35,69,1,0,0,-0.04
"(Intercept)287",2157,"Gev2xqOZzPcK1xOtQUGrNCy1af",66,"1.25",84.26,0.66,0.19,0.61,0.63,0.13,0.45,1.66,1.21,2.33,7.18,0.02,0.54,0.74,1.48,0.111495245482199,0.203335423465746,63899.6,503.15,150.62,499.56,490.06,139.34,243.65,1103.28,859.63,1.01,1.74,13.37,390.97,575.24,3.36,5039,118,42.7,112.77,18,23.88,11.86,1,1034,1033,7.07,54.4,10.38,12.25,33.75,0.63,54,736.09,333.93,267.4,0,1848.07,1848.07,-0.08,1.03,29.63,665.81,1014.6,4.29,713,18.81,53.27,9.34,11.7,10.02,0,866.67,866.67,12.47,182.11,1.99,3.81,20.06,250,48,713,-12.99,14.55,-8.22,-10.47,8.97,-158.76,-0.02,158.74,-2.89,16.71,0.54,-18.25,-3.18,-77.67,30,16.79,6.28,17,17.03,5.93,1,30,29,-0.37,-0.26,0.68,13,21,79,22,2633.81,20.58,10.97,18.72,19.58,8.8,2,64.29,62.29,1.24,2.64,0.97,13.34,25.71,7,121,0.04,47.58,41,1,0,0,0.014
"(Intercept)288",2158,"56n09HTmRsjmo1yD5oWgk94Owr",66,"1",82.29,0.65,0.13,0.63,0.64,0.13,0.32,1.1,0.78,0.72,0.88,0.01,0.55,0.74,-1.12,1.08973475494743,-0.162741524389308,64886.68,510.92,119.97,496.82,503.16,133.6,289.46,887.51,598.05,0.57,0.07,10.65,406.5,584.3,2.57,2022,108,18.72,21.23,14.5,14.5,12.6,1,117,116,2.58,7.52,2.04,5,21,-0.29,20,795.96,318.34,259.93,414.97,1951.99,1537.02,0.9,0.2,28.25,759.66,1143.48,5.89,2728,59.25,94.94,28.89,39.81,33.1,0,1392.94,1392.94,4.83,36.31,1.82,11.54,66.28,875,236,2728,-53.5,68.82,-30.81,-39.68,31.34,-1000,-0.05,999.95,-3.75,24.65,1.32,-62.11,-14.03,-539.35,256,65.75,11.86,67,66.57,8.9,5,89,84,-1.69,6.83,1.3,61,72,37,82,1307.06,10.21,5.81,9.22,9.61,5.02,1.41,36.67,35.26,1.38,3.26,0.51,5.96,13.07,0,128,0.05,73.13,128,0,0,0,0.395
"(Intercept)289",2166,"NzbUm8bbZP1UniiqhC9pN619yj",66,"0.8333333730697632",431.26,3.4,2.38,2.33,2.93,0.82,1.51,14.88,13.37,2.44,7.26,0.21,1.93,4.13,-16.31,9.54161774326682,-2.2640291279208,70763.39,557.19,352.35,499.94,501.68,130.65,294.38,3224,2929.62,5.2,31.79,31.27,411.69,584.26,4.38,52982,101,524.57,541.74,370,389.74,96.37,194,3540,3346,3.79,14.9,53.91,317,452,-1.3,1,164.15,229.62,241.19,37.51,1054.35,1016.84,0.72,0.14,20.38,179.64,500.92,3.79,1426,52.67,246.15,7.05,12.84,9.4,0,5263.16,5263.16,11.7,184.93,6.52,1.9,21.93,2142.64,189,1426,-20.42,40.96,-4.77,-11.09,6.83,-610.07,0,610.07,-4.92,41.77,1.08,-21.29,-0.59,-279.8,171,6.6,6.49,5,5.76,7.41,0,29,29,0.93,0,0.31,1,10,306,6,381.47,2.98,1.51,2.83,2.91,1.23,0,6.4,6.4,0.35,-0.36,0.13,2,4,0,128,0,92.16,128,0,0,0,0.052
"(Intercept)290",2168,"g8FxYmT5PEeoX4AwxmP1Jl0ix0",66,"1",73.49,0.58,0.15,0.56,0.57,0.08,0.22,1.77,1.55,4.08,30.78,0.01,0.51,0.62,1.48,0.0484807627070421,0.195311776936029,73971.68,582.45,131.5,578.09,577.15,109.37,118.07,998.74,880.67,0.33,1.49,11.67,497.89,646.8,1.8,1568,76,20.63,26.14,13.5,15.84,6.67,3,202,199,4.91,29.09,3,10,21.25,0.3,32,1015.65,247.88,196.47,278.59,1990.87,1712.28,0.43,1.91,22,943.79,1225.44,1.85,990,23.89,57.52,13.55,16.15,12.78,0,944.1,944.1,11.36,157.89,1.83,6.15,26.3,507.19,50,990,-21.16,57.1,-12.33,-14.66,12.02,-1327.9,0,1327.9,-15.2,298.95,1.81,-24.57,-5.6,-485.91,41,26.77,6.27,26.5,26.77,5.19,1,45,44,-0.4,3.42,0.73,23,30,25,70,2606.42,20.36,37.21,12.37,14.62,10.78,1,309.08,308.08,6.61,46.63,3.29,6.98,22.85,9,119,-0.13,58.64,45,4,1,1,-0.046
"(Intercept)291",2170,"ejAjAGYkKgIVXob9hPWFu8sWTG",66,"1",110.89,0.87,0.14,0.83,0.86,0.12,0.64,1.4,0.76,1.01,0.85,0.01,0.77,0.96,-0.39,1.04086967096091,-0.0617821099476466,63068.53,496.6,114.5,479.34,489.56,119.52,308.44,795.99,487.55,0.52,-0.32,10.16,409.93,574.52,2.68,8816,118,74.71,56.01,66,66.81,48.93,7,267,260,1.21,1.28,5.16,33.25,97,-0.44,21,574.67,207.21,206.79,251.54,1312.2,1060.66,0.35,0.02,18.39,586.6,861.88,3.8,1047,14.31,34.53,6.79,9.42,7.96,0,941.18,941.18,19.06,494.81,1.07,2.47,16.46,132.64,92,1047,-11.6,15.5,-6.1,-8.34,7.25,-132.03,-0.02,132.01,-2.78,10.43,0.48,-14.29,-2.03,-92.21,87,18.87,4.69,19,18.9,4.45,4,34,30,-0.02,0.66,0.45,16,22,37,39,1299.89,10.16,5.48,9.22,9.55,4.29,0,37.05,37.05,1.52,4.09,0.48,6.38,12.25,0,128,0.04,73.28,128,0,0,0,0.254
